Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Year,Month,Day
2017-01-31,Brown,WI,Passenger,1,0,1,46,47,2.13,2017,1,31
2017-01-31,Hawaii,HI,Passenger,1,0,1,92,93,1.08,2017,1,31
2017-01-31,Benton,WA,Truck,0,0,0,39814,39814,0.0,2017,1,31
2017-01-31,Madison,ID,Passenger,1,0,1,48,49,2.04,2017,1,31
2017-01-31,Chelan,WA,Passenger,54,28,82,51899,51981,0.16,2017,1,31
2017-01-31,San Diego,CA,Passenger,4,2,6,2894,2900,0.21,2017,1,31
2017-01-31,Lincoln,WA,Passenger,2,4,6,7543,7549,0.08,2017,1,31
2017-01-31,Columbia,WA,Passenger,0,1,1,2332,2333,0.04,2017,1,31
2017-01-31,St. Mary's,MD,Passenger,0,1,1,204,205,0.49,2017,1,31
2017-01-31,King,WA,Truck,8,1,9,191064,191073,0.0,2017,1,31
2017-01-31,Riverside,CA,Passenger,1,1,2,888,890,0.22,2017,1,31
2017-01-31,Yakima,WA,Passenger,36,49,85,159923,160008,0.05,2017,1,31
2017-01-31,DeKalb,GA,Passenger,1,0,1,92,93,1.08,2017,1,31
2017-01-31,Okanogan,WA,Passenger,3,15,18,25811,25829,0.07,2017,1,31
2017-01-31,Arlington,VA,Passenger,1,1,2,179,181,1.1,2017,1,31
2017-01-31,St. Lucie,FL,Passenger,1,0,1,32,33,3.03,2017,1,31
2017-01-31,Virginia Beach,VA,Passenger,2,1,3,652,655,0.46,2017,1,31
2017-01-31,Clark,WA,Truck,0,0,0,77515,77515,0.0,2017,1,31
2017-01-31,Monterey,CA,Passenger,0,1,1,234,235,0.43,2017,1,31
2017-01-31,Douglas,WA,Truck,0,0,0,11425,11425,0.0,2017,1,31
2017-01-31,Hamilton,TN,Passenger,1,0,1,28,29,3.45,2017,1,31
2017-01-31,Prince George's,MD,Passenger,0,1,1,189,190,0.53,2017,1,31
